m,n,k,time
1000,200,400,0.3336
1000,200,500,0.416871
1000,200,600,0.514441
1000,200,700,0.608053
1000,200,800,0.726315
1000,200,900,0.776457
1000,200,1000,0.8520700000000001
1000,300,100,0.12357299999999999
1000,300,200,0.25842000000000004
1000,300,300,0.38838799999999996
1000,300,400,0.514088
1000,300,500,0.654274
1000,300,600,0.775402
1000,300,700,0.917584
1000,300,800,1.07881
1000,300,900,1.17852
1000,300,1000,1.30302
1000,400,100,0.16816499999999998
1000,400,200,0.347598
1000,400,300,0.53192
1000,400,400,0.7039
1000,400,500,0.850105
1000,400,600,1.00626
1000,400,700,1.196
1000,400,800,1.4308299999999998
1000,400,900,1.5709000000000002
1000,400,1000,1.7277799999999999
1000,500,100,0.217131
1000,500,200,0.436483
1000,500,300,0.660187
1000,500,400,0.891205
1000,500,500,1.0808499999999999
1000,500,600,1.26342
1000,500,700,1.49722
1000,500,800,1.7235999999999998
1000,500,900,1.9841600000000001
1000,500,1000,2.17646
1000,600,100,0.255527
1000,600,200,0.523116
1000,600,300,0.793288
1000,600,400,1.06571
1000,600,500,1.32158
1000,600,600,1.56331
1000,600,700,1.86644
1000,600,800,2.1435500000000003
1000,600,900,2.4332800000000003
1000,600,1000,2.59596
1000,700,100,0.30418
1000,700,200,0.622478
1000,700,300,0.9525750000000001
1000,700,400,1.25371
1000,700,500,1.56107
1000,700,600,1.8799000000000001
1000,700,700,2.25496
1000,700,800,2.5164299999999997
1000,700,900,2.84803
1000,700,1000,3.11567
1000,800,100,0.35572000000000004
1000,800,200,0.731459
1000,800,300,1.08568
1000,800,400,1.4233699999999998
1000,800,500,1.7905499999999999
1000,800,600,2.14046
1000,800,700,2.48263
1000,800,800,2.84475
1000,800,900,3.30214
1000,800,1000,3.6052600000000004
1000,900,100,0.39416199999999996
1000,900,200,0.8076559999999999
1000,900,300,1.23268
1000,900,400,1.61518
1000,900,500,2.01195
1000,900,600,2.39331
1000,900,700,2.79704
1000,900,800,3.14885
1000,900,900,3.61969
1000,900,1000,3.9679699999999998
1000,1000,100,0.429014
1000,1000,200,0.8833869999999999
1000,1000,300,1.34561
1000,1000,400,1.75521
1000,1000,500,2.26531
1000,1000,600,2.69546
1000,1000,700,3.1133800000000003
1000,1000,800,3.5806999999999998
1000,1000,900,4.08243
1000,1000,1000,4.56545
